ID	Nomoxia Avg (log2)	Hypoxia Avg (log2)	Fold Change	P-val	FDR P-val	Gene Symbol	Description
202286_s_at	12.25	10.87	2.59	0.0005	0.0158	TACSTD2	tumor-associated calcium signal transducer 2
204689_at	7.06	5.57	2.81	0.0005	0.0158	HHEX	hematopoietically expressed homeobox
213725_x_at	7.08	5.8	2.41	0.0005	0.0158	XYLT1	xylosyltransferase I
206504_at	4.94	3.67	2.41	0.0005	0.0158	CYP24A1	cytochrome P450, family 24, subfamily A, polypeptide 1
209710_at	9.23	7.8	2.69	0.0005	0.0158	GATA2	GATA binding protein 2
221815_at	8.64	7.29	2.55	0.0005	0.0158	ABHD2	abhydrolase domain containing 2
205135_s_at	8.27	6.95	2.49	0.0005	0.0159	NUFIP1	nuclear fragile X mental retardation protein interacting protein 1
205347_s_at	8.08	6.32	3.38	0.0005	0.0159	TMSB15A	thymosin beta 15a
205655_at	4.79	6.07	-2.43	0.0005	0.0159	MDM4	MDM4, p53 regulator
214077_x_at	8.27	6.43	3.59	0.0005	0.0159	MEIS3P1	Meis homeobox 3 pseudogene 1
215695_s_at	7.8	6.49	2.49	0.0005	0.0159	GYG2	glycogenin 2
218817_at	8.51	10.02	-2.86	0.0005	0.0159	SPCS3	signal peptidase complex subunit 3
224739_at	9.89	11.16	-2.4	0.0005	0.0159	PIM3	Pim-3 proto-oncogene, serine/threonine kinase
225052_at	10.37	9.09	2.44	0.0005	0.0159	TMEM203	transmembrane protein 203
241342_at	8.81	10.23	-2.67	0.0005	0.0159	TMEM65	transmembrane protein 65
214123_s_at	7.48	6.21	2.42	0.0005	0.0159	NOP14-AS1	NOP14 antisense RNA 1
223201_s_at	8.46	6.63	3.57	0.0005	0.0159	LOC101928589; TMEM164	uncharacterized LOC101928589; transmembrane protein 164
241905_at	4.04	6.37	-5.02	0.0005	0.0159	PIK3C2A	phosphatidylinositol-4-phosphate 3-kinase, catalytic subunit type 2 alpha
201961_s_at	8.44	9.84	-2.63	0.0005	0.0159	RNF41	ring finger protein 41, E3 ubiquitin protein ligase
239761_at	8.51	7.04	2.77	0.0005	0.0160	GCNT1	glucosaminyl (N-acetyl) transferase 1, core 2
204531_s_at	8.99	6.87	4.33	0.0005	0.0160	BRCA1	breast cancer 1, early onset
200968_s_at	11.81	13.14	-2.5	0.0005	0.0160	PPIB	peptidylprolyl isomerase B (cyclophilin B)
232382_s_at	6.52	7.81	-2.44	0.0005	0.0160	PCMTD1	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1
229173_at	6.29	8.09	-3.48	0.0005	0.0160	KIAA1715	KIAA1715
225543_at	10.07	7.74	5.04	0.0005	0.0161	GTF3C4	general transcription factor IIIC subunit 4
228381_at	7.65	6.38	2.41	0.0005	0.0161	ATF7IP2	activating transcription factor 7 interacting protein 2
228286_at	7.37	5.09	4.87	0.0005	0.0162	GEN1	GEN1 Holliday junction 5' flap endonuclease
230304_at	8.12	6.71	2.66	0.0005	0.0162		
236223_s_at	7.41	8.91	-2.82	0.0005	0.0162	RIT1	Ras-like without CAAX 1
203775_at	10.2	8.82	2.6	0.0005	0.0162	SLC25A13	solute carrier family 25 (aspartate/glutamate carrier), member 13
202693_s_at	8.8	10.2	-2.63	0.0005	0.0162	STK17A	serine/threonine kinase 17a
205380_at	9.91	7.1	7.04	0.0005	0.0162	PDZK1	PDZ domain containing 1
209132_s_at	10.14	8.8	2.53	0.0005	0.0162	COMMD4	COMM domain containing 4
1555905_a_at	7.06	8.33	-2.4	0.0005	0.0162	TCAIM	T cell activation inhibitor, mitochondrial
1569320_at	4.14	5.6	-2.74	0.0005	0.0162	GPBP1L1	GC-rich promoter binding protein 1-like 1
225881_at	8.78	7.04	3.34	0.0005	0.0163	SLC35B4	solute carrier family 35 (UDP-xylose/UDP-N-acetylglucosamine transporter), member B4
218055_s_at	9.43	11.01	-2.98	0.0006	0.0163	WDR41	WD repeat domain 41
222118_at	9.43	6.58	7.21	0.0006	0.0163	CENPN	centromere protein N
223470_at	9.37	7.51	3.65	0.0006	0.0163	PIGM	phosphatidylinositol glycan anchor biosynthesis class M
235153_at	6.57	8.84	-4.84	0.0006	0.0163	RNF183	ring finger protein 183
203215_s_at	10.27	8.2	4.2	0.0006	0.0163	MYO6	myosin VI
202497_x_at	5.6	6.92	-2.5	0.0006	0.0163	SLC2A3	solute carrier family 2 (facilitated glucose transporter), member 3
205016_at	7.14	8.48	-2.53	0.0006	0.0163	TGFA	transforming growth factor alpha
223401_at	7.45	8.76	-2.49	0.0006	0.0163	ADPRM	ADP-ribose/CDP-alcohol diphosphatase, manganese-dependent
227164_at	9.69	7.22	5.53	0.0006	0.0163	SRSF1	serine/arginine-rich splicing factor 1
239153_at	4.86	3.57	2.44	0.0006	0.0163	HOTAIR	HOX transcript antisense RNA
209679_s_at	10.1	8.84	2.4	0.0006	0.0163	SMAGP	small cell adhesion glycoprotein
205590_at	7.81	6.23	3	0.0006	0.0163	RASGRP1	RAS guanyl releasing protein 1 (calcium and DAG-regulated)
209010_s_at	4.46	5.8	-2.54	0.0006	0.0163	TRIO	trio Rho guanine nucleotide exchange factor
232181_at	6.5	5.23	2.43	0.0006	0.0163	PPARGC1B	peroxisome proliferator-activated receptor gamma, coactivator 1 beta
221258_s_at	7.55	5.47	4.22	0.0006	0.0164	KIF18A	kinesin family member 18A
227230_s_at	6.42	5.16	2.38	0.0006	0.0164	KIAA1211	KIAA1211
244383_at	4.88	6.16	-2.42	0.0006	0.0164		
230285_at	8.44	6.95	2.8	0.0006	0.0164	SVIP	small VCP/p97-interacting protein
204242_s_at	8.33	7.05	2.43	0.0006	0.0164	ACOX3	acyl-CoA oxidase 3, pristanoyl
242289_at	5.24	3.98	2.39	0.0006	0.0164	MRPL42	mitochondrial ribosomal protein L42
1557277_a_at	5.07	3.78	2.43	0.0006	0.0165	LINC01016	long intergenic non-protein coding RNA 1016
202585_s_at	6.96	8.49	-2.89	0.0006	0.0165	NFX1	nuclear transcription factor, X-box binding 1
204112_s_at	8.87	7.17	3.24	0.0006	0.0165	HNMT	histamine N-methyltransferase
221731_x_at	5.82	4.57	2.38	0.0006	0.0165	VCAN	versican
225420_at	7.76	6.31	2.73	0.0006	0.0165	GPAM	glycerol-3-phosphate acyltransferase, mitochondrial
228558_at	8.78	7.37	2.66	0.0006	0.0166	C14orf80	chromosome 14 open reading frame 80
232709_at	6.3	4.84	2.76	0.0006	0.0166		
226835_s_at	10.49	11.79	-2.46	0.0006	0.0167	ZFAS1	ZNFX1 antisense RNA 1
205739_x_at	8.21	6.57	3.11	0.0006	0.0167	ZNF107	zinc finger protein 107
213610_s_at	7.77	6.51	2.39	0.0006	0.0167	KLHL23; PHOSPHO2-KLHL23	kelch-like family member 23; PHOSPHO2-KLHL23 readthrough
219588_s_at	10.41	8.86	2.92	0.0006	0.0167	NCAPG2	non-SMC condensin II complex subunit G2
224743_at	9.75	11.42	-3.2	0.0006	0.0167	IMPAD1	inositol monophosphatase domain containing 1
224831_at	7.81	9.54	-3.33	0.0006	0.0167	CPEB4	cytoplasmic polyadenylation element binding protein 4
1555832_s_at	9.25	10.7	-2.74	0.0006	0.0167	KLF6	Kruppel-like factor 6
220742_s_at	9.64	11.29	-3.14	0.0006	0.0167	NGLY1	N-glycanase 1
212094_at	7.55	6.31	2.37	0.0006	0.0167	PEG10	paternally expressed 10
229455_at	4.12	5.6	-2.79	0.0006	0.0167	LOC102723694	uncharacterized LOC102723694
208093_s_at	9.13	10.43	-2.45	0.0006	0.0168	NDEL1	nudE neurodevelopment protein 1-like 1
1554755_a_at	4.6	5.84	-2.37	0.0006	0.0168	MTUS2	microtubule associated tumor suppressor candidate 2
204493_at	9.1	7.46	3.12	0.0006	0.0168	BID	BH3 interacting domain death agonist
210540_s_at	7.53	8.89	-2.56	0.0006	0.0168	B4GALT4	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 4
212336_at	5.93	4.66	2.41	0.0006	0.0168	EPB41L1	erythrocyte membrane protein band 4.1-like 1
212846_at	11.03	9.69	2.52	0.0006	0.0168	RRP1B	ribosomal RNA processing 1B
224886_at	10.13	8.89	2.37	0.0006	0.0168	JMJD8	jumonji domain containing 8
225502_at	6.04	4.43	3.05	0.0006	0.0168	DOCK8	dedicator of cytokinesis 8
226032_at	10.42	9.18	2.37	0.0006	0.0168	CASP2	caspase 2
231579_s_at	9.97	8.26	3.27	0.0006	0.0168	TIMP2	TIMP metallopeptidase inhibitor 2
235333_at	5.49	4.24	2.37	0.0006	0.0168	B4GALT6	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 6
238017_at	7.81	9.28	-2.79	0.0006	0.0168	SDR16C5	short chain dehydrogenase/reductase family 16C, member 5
241826_x_at	4.85	3.6	2.37	0.0006	0.0168	ZNF738	zinc finger protein 738
242979_at	9.2	6.75	5.48	0.0006	0.0168	IRS1	insulin receptor substrate 1
1555193_a_at	5.72	7.1	-2.6	0.0006	0.0168	ZNF277	zinc finger protein 277
202613_at	10.14	7.49	6.27	0.0006	0.0168	CTPS1	CTP synthase 1
220144_s_at	8.02	6.21	3.5	0.0006	0.0168	ANKEF1	ankyrin repeat and EF-hand domain containing 1
224478_s_at	10.15	8.68	2.77	0.0006	0.0169	C7orf50	chromosome 7 open reading frame 50
222472_at	8.79	10.17	-2.6	0.0006	0.0169	AFTPH	aftiphilin
226980_at	8.68	6.78	3.73	0.0006	0.0169	DEPDC1B	DEP domain containing 1B
201562_s_at	8.42	7.18	2.36	0.0006	0.0169	SORD	sorbitol dehydrogenase
210640_s_at	8.62	7.34	2.42	0.0006	0.0169	GPER1	G protein-coupled estrogen receptor 1
221734_at	9.89	11.14	-2.37	0.0006	0.0169	PRRC1	proline-rich coiled-coil 1
223387_at	9.68	10.92	-2.37	0.0006	0.0169	ZFYVE1	zinc finger, FYVE domain containing 1
219324_at	8.23	6.95	2.44	0.0006	0.0169	NOL12	nucleolar protein 12
203228_at	9.69	8.3	2.62	0.0006	0.0170	PAFAH1B3	platelet-activating factor acetylhydrolase 1b, catalytic subunit 3 (29kDa)
209909_s_at	5.36	4.07	2.44	0.0006	0.0170	TGFB2	transforming growth factor beta 2
226154_at	9.31	7.89	2.68	0.0006	0.0170	DNM1L	dynamin 1-like
228397_at	8.23	5.93	4.93	0.0006	0.0170	TUG1	taurine up-regulated 1 (non-protein coding)
212205_at	9.52	6.32	9.17	0.0006	0.0170	H2AFV	H2A histone family, member V
219255_x_at	7.77	6.46	2.48	0.0006	0.0170	IL17RB	interleukin 17 receptor B
218333_at	9.89	11.49	-3.02	0.0006	0.0170	DERL2	derlin 2
218919_at	10.05	11.81	-3.37	0.0006	0.0170	ZFAND1	zinc finger, AN1-type domain 1
225809_at	5.36	6.7	-2.55	0.0006	0.0170	PARM1	prostate androgen-regulated mucin-like protein 1
240165_at	5.46	6.7	-2.36	0.0006	0.0170		
224560_at	7.69	6.2	2.8	0.0006	0.0170	TIMP2	TIMP metallopeptidase inhibitor 2
236106_at	8.29	6.14	4.42	0.0006	0.0170		
213720_s_at	11.11	9.84	2.41	0.0006	0.0170	SMARCA4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4
218904_s_at	7.39	5.98	2.66	0.0006	0.0170	C9orf40	chromosome 9 open reading frame 40
221590_s_at	6.66	7.92	-2.39	0.0006	0.0170	ALDH6A1	aldehyde dehydrogenase 6 family, member A1
223135_s_at	8.11	9.39	-2.42	0.0006	0.0170	BBX	bobby sox homolog (Drosophila)
227004_at	6.09	7.83	-3.35	0.0006	0.0170	CDKL5	cyclin-dependent kinase-like 5
238436_s_at	6.46	7.76	-2.45	0.0006	0.0170	ZNF805	zinc finger protein 805
202923_s_at	10.22	11.73	-2.85	0.0006	0.0171	GCLC	glutamate-cysteine ligase, catalytic subunit
205110_s_at	8.12	9.36	-2.35	0.0006	0.0171	FGF13	fibroblast growth factor 13
207620_s_at	7.71	8.97	-2.39	0.0006	0.0171	CASK	calcium/calmodulin-dependent serine protein kinase (MAGUK family)
222692_s_at	8.03	9.58	-2.93	0.0006	0.0171	FNDC3B	fibronectin type III domain containing 3B
225822_at	7.75	9.08	-2.52	0.0006	0.0171	TMEM125	transmembrane protein 125
226115_at	8.46	6.87	3	0.0006	0.0171	AHCTF1	AT hook containing transcription factor 1
238067_at	3.15	4.51	-2.57	0.0006	0.0171	TBC1D8B	TBC1 domain family, member 8B (with GRAM domain)
204344_s_at	7.34	8.89	-2.91	0.0006	0.0171	SEC23A	Sec23 homolog A, COPII coat complex component
200827_at	8.18	9.48	-2.45	0.0006	0.0171	PLOD1	procollagen-lysine, 2-oxoglutarate 5-dioxygenase 1
201125_s_at	11.16	9.73	2.69	0.0006	0.0171	ITGB5	integrin beta 5
200894_s_at	9.9	8.55	2.55	0.0006	0.0171	FKBP4	FK506 binding protein 4
227993_at	9.21	7.64	2.97	0.0006	0.0171	METAP2	methionyl aminopeptidase 2
242915_at	7.05	5.73	2.49	0.0006	0.0171	ZNF682	zinc finger protein 682
225491_at	5.96	4.72	2.36	0.0006	0.0171	SLC1A2	solute carrier family 1 (glial high affinity glutamate transporter), member 2
217905_at	8.02	6.53	2.82	0.0006	0.0171	MCMBP	minichromosome maintenance complex binding protein
202412_s_at	9.22	7.89	2.52	0.0006	0.0171	USP1	ubiquitin specific peptidase 1
238908_at	6.79	8.03	-2.35	0.0006	0.0172		
63825_at	7.02	5.71	2.48	0.0006	0.0172	ABHD2	abhydrolase domain containing 2
204085_s_at	5.23	6.47	-2.35	0.0006	0.0172	CLN5	ceroid-lipofuscinosis, neuronal 5
204381_at	8.62	7.32	2.46	0.0006	0.0172	LRP3	LDL receptor related protein 3
212325_at	5.15	7.48	-5.02	0.0006	0.0172	LIMCH1	LIM and calponin homology domains 1
1553030_a_at	7.09	5.84	2.38	0.0006	0.0172	SUOX	sulfite oxidase
225842_at	9.59	7.93	3.15	0.0006	0.0172	PHLDA1	pleckstrin homology-like domain, family A, member 1
220305_at	8.68	7.43	2.38	0.0006	0.0172	MAVS	mitochondrial antiviral signaling protein
203340_s_at	7.84	6.48	2.56	0.0006	0.0172	SLC25A12	solute carrier family 25 (aspartate/glutamate carrier), member 12
209276_s_at	6.86	8.33	-2.76	0.0006	0.0172	GLRX	glutaredoxin
209408_at	10.49	9.06	2.69	0.0006	0.0172	KIF2C	kinesin family member 2C
214214_s_at	10.97	9.3	3.18	0.0006	0.0172	C1QBP	complement component 1, q subcomponent binding protein
217427_s_at	8.24	6.97	2.41	0.0006	0.0172	HIRA	histone cell cycle regulator
227801_at	8.78	7.1	3.19	0.0006	0.0172	TRIM59	tripartite motif containing 59
229666_s_at	7.38	5.51	3.66	0.0006	0.0172	CSTF3	cleavage stimulation factor, 3' pre-RNA, subunit 3
226107_at	4.58	6.05	-2.78	0.0006	0.0173	C1GALT1	core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1
204244_s_at	10.07	8.46	3.05	0.0006	0.0173	DBF4	DBF4 zinc finger
225089_at	7.31	6.07	2.37	0.0006	0.0174	USP40	ubiquitin specific peptidase 40
1558305_at	5.1	6.48	-2.6	0.0006	0.0174	GIGYF2	GRB10 interacting GYF protein 2
202315_s_at	8.87	7.58	2.43	0.0006	0.0174	BCR	breakpoint cluster region
209800_at	5.77	7.08	-2.46	0.0006	0.0174	KRT16	keratin 16, type I
214657_s_at	6.18	7.41	-2.35	0.0006	0.0174	NEAT1	nuclear paraspeckle assembly transcript 1 (non-protein coding)
220952_s_at	8.02	6.65	2.57	0.0006	0.0174	PLEKHA5	pleckstrin homology domain containing, family A member 5
221561_at	7.94	6.53	2.66	0.0006	0.0174	SOAT1	sterol O-acyltransferase 1
229514_at	5.11	6.34	-2.34	0.0006	0.0174	GPATCH2L	G-patch domain containing 2 like
244447_at	7.53	9.05	-2.86	0.0006	0.0174		
203333_at	8.26	9.58	-2.49	0.0006	0.0174	KIFAP3	kinesin-associated protein 3
205899_at	4.82	6.05	-2.34	0.0006	0.0174	CCNA1	cyclin A1
218460_at	10.86	9.63	2.34	0.0006	0.0174	DNAAF5	dynein, axonemal, assembly factor 5
229506_at	5.34	4.11	2.34	0.0006	0.0174	PPM1L	protein phosphatase, Mg2+/Mn2+ dependent, 1L
233308_at	5.38	6.61	-2.34	0.0006	0.0174	COPB1	coatomer protein complex subunit beta 1
236513_at	5.06	7.12	-4.15	0.0006	0.0174	PRELID2	PRELI domain containing 2
227617_at	9.49	8.23	2.41	0.0006	0.0174	TMEM201	transmembrane protein 201
228386_s_at	7.33	8.87	-2.9	0.0006	0.0174	DDX59	DEAD (Asp-Glu-Ala-Asp) box polypeptide 59
236835_at	6.97	5.45	2.85	0.0006	0.0174	FUT8-AS1	FUT8 antisense RNA 1
236480_at	5.32	6.85	-2.88	0.0006	0.0174	MIR210HG	MIR210 host gene
214370_at	8.98	6.66	5.01	0.0006	0.0175	S100A8	S100 calcium binding protein A8
224841_x_at	12.11	13.33	-2.34	0.0006	0.0175	GAS5	growth arrest-specific 5 (non-protein coding)
200988_s_at	6.62	5.29	2.51	0.0006	0.0175	PSME3	proteasome activator subunit 3
223216_x_at	7.14	8.38	-2.36	0.0006	0.0175	FBXO16; ZNF395	F-box protein 16; zinc finger protein 395
233049_x_at	11.92	10.65	2.42	0.0006	0.0175	STUB1	STIP1 homology and U-box containing protein 1, E3 ubiquitin protein ligase
242482_at	5.38	6.62	-2.35	0.0006	0.0175	PRKAR1A	protein kinase, cAMP-dependent, regulatory, type I, alpha
218815_s_at	8.45	7.08	2.58	0.0006	0.0175	TMEM51	transmembrane protein 51
225230_at	9.51	10.73	-2.34	0.0006	0.0176	DRAM2	DNA-damage regulated autophagy modulator 2
227420_at	6.96	5.3	3.16	0.0006	0.0176	TNFAIP8L1	tumor necrosis factor, alpha-induced protein 8-like 1
232693_s_at	7.28	8.51	-2.35	0.0006	0.0176	FBXO16; ZNF395	F-box protein 16; zinc finger protein 395
205214_at	6.06	7.54	-2.79	0.0006	0.0176	STK17B	serine/threonine kinase 17b
226545_at	7.56	8.97	-2.66	0.0006	0.0176	CD109	CD109 molecule
221219_s_at	9.51	8.29	2.33	0.0006	0.0176	KLHDC4; LOC105371397	kelch domain containing 4; uncharacterized LOC105371397
216623_x_at	5.92	4.7	2.33	0.0006	0.0177	TOX3	TOX high mobility group box family member 3
225163_at	6.96	5.41	2.94	0.0006	0.0177	FRMD4A	FERM domain containing 4A
227687_at	9.51	7.83	3.19	0.0006	0.0177	HYLS1	hydrolethalus syndrome 1
225723_at	8.87	10.22	-2.55	0.0006	0.0177	CCDC167	coiled-coil domain containing 167
221637_s_at	11.16	9.72	2.73	0.0006	0.0177	C11orf98; LBHD1	chromosome 11 open reading frame 98; LBH domain containing 1
235022_at	9.2	10.47	-2.42	0.0006	0.0177	FAM210A	family with sequence similarity 210, member A
204840_s_at	4.75	3.48	2.41	0.0006	0.0177	EEA1	early endosome antigen 1
202772_at	9.54	10.91	-2.58	0.0006	0.0178	HMGCL	3-hydroxymethyl-3-methylglutaryl-CoA lyase
219717_at	7.51	6.28	2.34	0.0006	0.0178	DCAF16	DDB1 and CUL4 associated factor 16
215719_x_at	4.11	6.22	-4.32	0.0007	0.0178	FAS	Fas cell surface death receptor
207038_at	8.1	6.87	2.34	0.0007	0.0178	SLC16A6	solute carrier family 16, member 6
226863_at	8.37	10.78	-5.31	0.0007	0.0178	FAM110C	family with sequence similarity 110, member C
218205_s_at	10.44	11.81	-2.57	0.0007	0.0178	MKNK2	MAP kinase interacting serine/threonine kinase 2
213126_at	6.27	7.48	-2.33	0.0007	0.0178	MED8	mediator complex subunit 8
209741_x_at	5.98	7.4	-2.66	0.0007	0.0178	SCAPER	S-phase cyclin A-associated protein in the ER
218026_at	10.41	9.17	2.36	0.0007	0.0178	COA3	cytochrome c oxidase assembly factor 3
218170_at	11.63	10.34	2.45	0.0007	0.0178	ISOC1	isochorismatase domain containing 1
220072_at	6.71	5.49	2.34	0.0007	0.0178	CSPP1	centrosome and spindle pole associated protein 1
1556064_at	6.76	4.8	3.89	0.0007	0.0178	LOC284926	uncharacterized LOC284926
214765_s_at	8.51	7.18	2.52	0.0007	0.0178	NAAA	N-acylethanolamine acid amidase
204285_s_at	7.52	8.83	-2.47	0.0007	0.0179	PMAIP1	phorbol-12-myristate-13-acetate-induced protein 1
209345_s_at	8.47	9.78	-2.49	0.0007	0.0179	PI4K2A	phosphatidylinositol 4-kinase type 2 alpha
228385_at	8.47	9.91	-2.71	0.0007	0.0179	DDX59	DEAD (Asp-Glu-Ala-Asp) box polypeptide 59
229623_at	9.62	7.17	5.47	0.0007	0.0179	TMEM150C	transmembrane protein 150C
235363_at	8.72	6.37	5.09	0.0007	0.0179		
237052_x_at	6.09	7.95	-3.63	0.0007	0.0179	GIGYF2	GRB10 interacting GYF protein 2
1553861_at	4.32	5.96	-3.1	0.0007	0.0179	TCP11L2	t-complex 11, testis-specific-like 2
224452_s_at	10.53	11.86	-2.52	0.0007	0.0179	FAM220A	family with sequence similarity 220, member A
200615_s_at	10	11.22	-2.32	0.0007	0.0179	AP2B1	adaptor-related protein complex 2, beta 1 subunit
209459_s_at	11.76	8.39	10.35	0.0007	0.0179	ABAT	4-aminobutyrate aminotransferase
228575_at	5.2	6.42	-2.33	0.0007	0.0179	IL20RB	interleukin 20 receptor beta
227863_at	7.72	6.45	2.41	0.0007	0.0179	IFITM10	interferon induced transmembrane protein 10
205759_s_at	8.44	7.22	2.33	0.0007	0.0180	SULT2B1	sulfotransferase family 2B member 1
221041_s_at	6.55	7.99	-2.73	0.0007	0.0180	SLC17A5	solute carrier family 17 (acidic sugar transporter), member 5
205879_x_at	8.84	7.61	2.35	0.0007	0.0180	RET	ret proto-oncogene
228030_at	7.85	9.08	-2.35	0.0007	0.0180	RBM6	RNA binding motif protein 6
221235_s_at	8.76	7.54	2.32	0.0007	0.0180	TGFBRAP1	transforming growth factor beta receptor associated protein 1
212560_at	5.87	7.4	-2.89	0.0007	0.0180	SORL1	sortilin-related receptor, L(DLR class) A repeats containing
223450_s_at	8.36	9.66	-2.46	0.0007	0.0180	COG3	component of oligomeric golgi complex 3
203810_at	5.74	7.16	-2.68	0.0007	0.0180	DNAJB4	DnaJ (Hsp40) homolog, subfamily B, member 4
211297_s_at	10.21	11.51	-2.47	0.0007	0.0180	CDK7	cyclin-dependent kinase 7
37254_at	6.95	8.25	-2.46	0.0007	0.0180	ZNF133	zinc finger protein 133
204204_at	8.55	6.96	3	0.0007	0.0180	SLC31A2	solute carrier family 31 (copper transporter), member 2
204998_s_at	7.97	6.74	2.34	0.0007	0.0180	ATF5	activating transcription factor 5
224947_at	9.06	7.85	2.32	0.0007	0.0181	RNF26	ring finger protein 26
217934_x_at	11.76	10.44	2.49	0.0007	0.0181	STUB1	STIP1 homology and U-box containing protein 1, E3 ubiquitin protein ligase
210625_s_at	8.26	6.56	3.25	0.0007	0.0181	AKAP1	A kinase (PRKA) anchor protein 1
1559132_at	9.07	7.84	2.35	0.0007	0.0181	TMEM80	transmembrane protein 80
204053_x_at	10.25	11.47	-2.32	0.0007	0.0181	PTEN	phosphatase and tensin homolog
201397_at	9.96	11.36	-2.64	0.0007	0.0181	PHGDH	phosphoglycerate dehydrogenase
202350_s_at	8.81	7.58	2.35	0.0007	0.0181	MATN2	matrilin 2
206512_at	5.6	7.31	-3.26	0.0007	0.0181	SRP19; ZRSR1	signal recognition particle 19kDa; zinc finger (CCCH type), RNA binding motif and serine/arginine rich 1
213912_at	8.85	7.62	2.35	0.0007	0.0181	TBC1D30	TBC1 domain family, member 30
209017_s_at	9.61	10.95	-2.54	0.0007	0.0181	LONP1	lon peptidase 1, mitochondrial
205910_s_at	6.25	8.6	-5.07	0.0007	0.0181	CEL	carboxyl ester lipase
213988_s_at	10.03	11.52	-2.81	0.0007	0.0181	SAT1	spermidine/spermine N1-acetyltransferase 1
225430_at	8.36	7.14	2.32	0.0007	0.0181	GATC	glutamyl-tRNA(Gln) amidotransferase, subunit C
203233_at	9.38	8.15	2.36	0.0007	0.0182	IL4R	interleukin 4 receptor
212124_at	11.49	10.17	2.5	0.0007	0.0182	ZMIZ1	zinc finger, MIZ-type containing 1
223569_at	7.12	8.37	-2.38	0.0007	0.0182	PLPP5	phospholipid phosphatase 5
224896_s_at	9.33	7.95	2.61	0.0007	0.0182	TTL	tubulin tyrosine ligase
235760_at	8.18	6.62	2.95	0.0007	0.0182	NSD1	nuclear receptor binding SET domain protein 1
209083_at	7.75	6.23	2.87	0.0007	0.0182	CORO1A	coronin, actin binding protein, 1A
225444_at	7.05	8.34	-2.43	0.0007	0.0182	UBN2	ubinuclein 2
1553947_at	7.04	5.8	2.37	0.0007	0.0182	EXOSC6	exosome component 6
202669_s_at	8.03	6.79	2.36	0.0007	0.0182	EFNB2	ephrin-B2
205229_s_at	8.4	6.32	4.23	0.0007	0.0182	COCH	cochlin
212327_at	5.16	6.73	-2.98	0.0007	0.0182	LIMCH1	LIM and calponin homology domains 1
212983_at	9.92	8.69	2.35	0.0007	0.0182	HRAS	Harvey rat sarcoma viral oncogene homolog
221995_s_at	10.76	9.53	2.35	0.0007	0.0182		
224496_s_at	5.74	4.4	2.53	0.0007	0.0182	TMEM107	transmembrane protein 107
227352_at	7.21	5.73	2.79	0.0007	0.0182	SWSAP1	SWIM-type zinc finger 7 associated protein 1
229331_at	6	7.62	-3.09	0.0007	0.0182	SPATA18	spermatogenesis associated 18
231718_at	7.78	9.02	-2.36	0.0007	0.0182	SLU7	SLU7 homolog, splicing factor
212328_at	5.03	7.04	-4.02	0.0007	0.0182	LIMCH1	LIM and calponin homology domains 1
229504_at	6.51	5.18	2.51	0.0007	0.0182	RAB23	RAB23, member RAS oncogene family
235722_at	6.43	5.21	2.33	0.0007	0.0182	SYNJ2BP	synaptojanin 2 binding protein
232174_at	4.63	5.83	-2.31	0.0007	0.0183		
239768_x_at	6.46	4.57	3.7	0.0007	0.0183	GPATCH2	G-patch domain containing 2
203479_s_at	7.93	6.66	2.41	0.0007	0.0183	OTUD4	OTU deubiquitinase 4
209330_s_at	11.09	9.18	3.76	0.0007	0.0183	HNRNPD	heterogeneous nuclear ribonucleoprotein D
211799_x_at	7.89	9.09	-2.31	0.0007	0.0183	HLA-C	major histocompatibility complex, class I, C
225272_at	7.63	8.9	-2.41	0.0007	0.0183	SAT2	spermidine/spermine N1-acetyltransferase family member 2
226838_at	6.63	5.34	2.44	0.0007	0.0183	TTC32	tetratricopeptide repeat domain 32
238729_x_at	7.8	9.33	-2.88	0.0007	0.0183	SAV1	salvador family WW domain containing protein 1
226661_at	9.06	7.73	2.52	0.0007	0.0184	CDCA2	cell division cycle associated 2
218043_s_at	6.45	8.16	-3.28	0.0007	0.0184	AZI2	5-azacytidine induced 2
66053_at	7.84	6.49	2.55	0.0007	0.0184	HNRNPUL2; HNRNPUL2-BSCL2	heterogeneous nuclear ribonucleoprotein U-like 2; HNRNPUL2-BSCL2 readthrough (NMD candidate)
223015_at	11.04	12.33	-2.45	0.0007	0.0184	EIF2A	eukaryotic translation initiation factor 2A, 65kDa
228401_at	8.8	7	3.47	0.0007	0.0184	ATAD2	ATPase family, AAA domain containing 2
242352_at	6.67	5.09	3	0.0007	0.0184	NIPBL	Nipped-B homolog (Drosophila)
230329_s_at	6.99	5.77	2.33	0.0007	0.0184	NUDT6	nudix hydrolase 6
209885_at	9.17	7.96	2.32	0.0007	0.0184	RHOD	ras homolog family member D
222728_s_at	10.02	11.39	-2.59	0.0007	0.0184	TAF1D	TATA box binding protein associated factor 1D
222781_s_at	9.18	7.51	3.18	0.0007	0.0184	C9orf40	chromosome 9 open reading frame 40
