ID	Normoxia.Avg..log2.	Hypoxia.Avg..log2.	Fold.Change	P.val	FDR.P.val	Gene.Symbol	Description
213947_s_at	9.88	8.71	2.25	1e-04	0.0033	NUP210	nucleoporin 210kDa
213951_s_at	8.9	7.86	2.06	3e-04	0.0048	PSMC3IP	PSMC3 interacting protein
213959_s_at	5.1	4.18	1.89	7e-04	0.0092	RPGRIP1L	RPGRIP1-like
213970_at	7.36	8.15	-1.73	0.0025	0.0234	RABL3	RAB, member of RAS oncogene family-like 3
214011_s_at	11.38	9.44	3.84	2e-04	0.0083	NOP16	NOP16 nucleolar protein
214014_at	6.69	5.91	1.72	0.0016	0.0173	CDC42EP2	CDC42 effector protein (Rho GTPase binding) 2
214036_at	8.07	7.42	1.57	0.0045	0.0363	EFNA5	ephrin-A5
214046_at	7.84	5.75	4.25	4.38e-05	0.0016	FUT9	fucosyltransferase 9 (alpha (1,3) fucosyltransferase)
214061_at	8.67	7.5	2.26	0.001	0.048	TBC1D31	TBC1 domain family, member 31
214077_x_at	8.27	7.11	2.25	0.0024	0.0231	MEIS3P1	Meis homeobox 3 pseudogene 1
214095_at	8.81	10.23	-2.68	7e-04	0.0424	SHMT2	serine hydroxymethyltransferase 2 (mitochondrial)
214136_at	4.91	5.94	-2.04	0.0011	0.0128	NUDT13	nudix hydrolase 13
214138_at	6.47	7.96	-2.8	3e-04	0.0112	ZNF79	zinc finger protein 79
214141_x_at	12.85	11.03	3.52	0.001	0.023	SRSF7	serine/arginine-rich splicing factor 7
214179_s_at	9.62	11.35	-3.34	4e-04	0.0346	NFE2L1	nuclear factor, erythroid 2-like 1
214211_at	11.86	13.65	-3.47	6.74e-05	0.0058	FTH1	ferritin, heavy polypeptide 1
214214_s_at	10.97	9.81	2.24	6e-04	0.0086	C1QBP	complement component 1, q subcomponent binding protein
214268_s_at	10.35	11.14	-1.73	0.0019	0.0194	MTMR4	myotubularin related protein 4
214280_x_at	11.81	12.88	-2.11	3e-04	0.0056	HNRNPA1	heterogeneous nuclear ribonucleoprotein A1
214404_x_at	10.14	9.15	1.99	5e-04	0.0072	SPDEF	SAM pointed domain containing ETS transcription factor
214427_at	10.53	9.41	2.18	0.0011	0.013	NOP2	NOP2 nucleolar protein
214430_at	12.14	9.45	6.45	3.13e-07	1e-04	GLA	galactosidase, alpha
214433_s_at	9.09	8.32	1.7	0.0037	0.0313	SELENBP1	selenium binding protein 1
214440_at	8.77	7.59	2.28	1e-04	0.0028	NAT1	N-acetyltransferase 1 (arylamine N-acetyltransferase)
214467_at	4.58	3.89	1.61	0.0061	0.0452	GPR65	G protein-coupled receptor 65
214482_at	6.85	7.77	-1.9	0.0031	0.045	ZBTB25	zinc finger and BTB domain containing 25
214519_s_at	8.4	6.34	4.18	2.39e-05	0.0037	RLN2	relaxin 2
214624_at	6.4	8.59	-4.55	2.77e-06	4e-04	UPK1A	uroplakin 1A
214633_at	7.23	5.64	3.01	4.15e-05	0.0015	SOX3	SRY box 3
214662_at	8.95	7.92	2.05	0.0018	0.0319	WDR43	WD repeat domain 43
214683_s_at	7.35	9.6	-4.76	1.3e-05	0.003	CLK1	CDC like kinase 1
214696_at	8.49	10.49	-3.99	0.001	0.0478	MIR22HG	MIR22 host gene
214721_x_at	8.88	7.8	2.11	3e-04	0.0048	CDC42EP4	CDC42 effector protein (Rho GTPase binding) 4
214723_x_at	4.94	3.93	2.02	5e-04	0.007	ANKRD36; ANKRD36B	ankyrin repeat domain 36; ankyrin repeat domain 36B
214742_at	7.59	6.74	1.8	0.0017	0.0178	CEP131	centrosomal protein 131kDa
214748_at	6.73	7.77	-2.05	0.0016	0.0169	N4BP2L2	NEDD4 binding protein 2-like 2
214764_at	6.14	4.82	2.49	0.0014	0.0157	RRP15	ribosomal RNA processing 15 homolog
214765_s_at	8.51	7.18	2.52	7e-04	0.0178	NAAA	N-acylethanolamine acid amidase
214774_x_at	4.58	3.93	1.56	0.0068	0.0486	TOX3	TOX high mobility group box family member 3
214835_s_at	9.5	10.3	-1.74	0.0035	0.0302	SUCLG2	succinate-CoA ligase, GDP-forming, beta subunit
214838_at	8.77	7.81	1.94	5e-04	0.0076	SFT2D2	SFT2 domain containing 2
214853_s_at	11.04	11.8	-1.7	0.0033	0.0286	SHC1	SHC (Src homology 2 domain containing) transforming protein 1
214882_s_at	10.92	9.29	3.1	1.3e-05	8e-04	SRSF2	serine/arginine-rich splicing factor 2
214965_at	7.87	7.08	1.73	0.003	0.027	SPATA2L	spermatogenesis associated 2-like
214978_s_at	5.18	7.34	-4.45	2.38e-05	0.0037	PPFIA4	protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 4
214992_s_at	7.26	6.64	1.53	0.0059	0.0442	DNASE2	deoxyribonuclease II, lysosomal
215009_s_at	8.37	10.02	-3.15	1.12e-05	7e-04	THAP9-AS1	THAP9 antisense RNA 1
215017_s_at	9.63	10.36	-1.66	0.0031	0.0277	FNBP1L	formin binding protein 1-like
215030_at	6.98	5.84	2.21	0.0031	0.0445	GRSF1	G-rich RNA sequence binding factor 1
215092_s_at	7.01	5.54	2.77	5.54e-05	0.0472	NFAT5	nuclear factor of activated T-cells 5, tonicity-responsive
215134_at	5.8	6.85	-2.08	0.0014	0.0154	PI4K2A	phosphatidylinositol 4-kinase type 2 alpha
215148_s_at	6.05	6.84	-1.73	0.0054	0.041	APBA3	amyloid beta (A4) precursor protein-binding, family A, member 3
215185_at	6.23	6.84	-1.53	0.0059	0.044	LINC00963	long intergenic non-protein coding RNA 963
215218_s_at	7.99	7.36	1.55	0.0062	0.0455	WDR62	WD repeat domain 62
215228_at	4.06	4.98	-1.9	7e-04	0.0089	NHLH2	nescient helix-loop-helix 2
215407_s_at	6.39	7.02	-1.55	0.0051	0.0394	ASTN2	astrotactin 2
215440_s_at	8.42	10.01	-3.02	7.2e-05	0.0021	BEX4	brain expressed X-linked 4
215446_s_at	3.76	10.27	-91.31	5.33e-09	2.91e-05	LOX	lysyl oxidase
215465_at	4.96	5.8	-1.79	0.001	0.0125	ABCA12	ATP binding cassette subfamily A member 12
215499_at	9.43	8.78	1.57	0.0047	0.0371	MAP2K3	mitogen-activated protein kinase kinase 3
215532_x_at	4.73	3.89	1.79	0.0011	0.0129	ZNF492	zinc finger protein 492
215548_s_at	9.18	10.78	-3.02	3.11e-05	0.0013	SCFD1	sec1 family domain containing 1
215596_s_at	8.62	9.74	-2.18	2e-04	0.0037	LTN1	listerin E3 ubiquitin protein ligase 1
215629_s_at	5.93	5.15	1.73	0.002	0.0197	DLEU2; DLEU2L	deleted in lymphocytic leukemia 2 (non-protein coding); deleted in lymphocytic leukemia 2-like
215695_s_at	7.8	6.49	2.49	5e-04	0.0159	GYG2	glycogenin 2
215766_at	6.02	6.7	-1.6	0.0039	0.0322	GSTA5	glutathione S-transferase alpha 5
215773_x_at	10.55	11.36	-1.75	0.0015	0.0162	PARP2	poly(ADP-ribose) polymerase 2
215779_s_at	5.38	4.65	1.67	0.0037	0.0315	HIST1H2BG	histone cluster 1, H2bg
215933_s_at	5.35	4.72	1.55	0.0053	0.0406	HHEX	hematopoietically expressed homeobox
216026_s_at	8.22	6.8	2.68	3.54e-05	0.0014	POLE	polymerase (DNA directed), epsilon, catalytic subunit
216199_s_at	9.18	8.48	1.62	0.0052	0.04	MAP3K4	mitogen-activated protein kinase kinase kinase 4
216237_s_at	11.03	9.04	3.97	5.11e-06	5e-04	MCM5	minichromosome maintenance complex component 5
216241_s_at	11.67	12.92	-2.36	0.0019	0.0326	TCEA1	transcription elongation factor A (SII), 1
216251_s_at	9.36	8.72	1.56	0.0052	0.04	TTLL12	tubulin tyrosine ligase-like family member 12
216262_s_at	9.01	7.48	2.89	9e-04	0.0217	TGIF2	TGFB-induced factor homeobox 2
216268_s_at	7.42	8.63	-2.32	3e-04	0.005	JAG1	jagged 1
216299_s_at	6.72	5.82	1.86	0.0015	0.0163	XRCC3	X-ray repair complementing defective repair in Chinese hamster cells 3
216321_s_at	8.72	9.9	-2.26	8e-04	0.0201	NR3C1	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)
216526_x_at	10.21	11.82	-3.06	1e-04	0.0072	HLA-C	major histocompatibility complex, class I, C
216548_x_at	9.48	8.42	2.07	0.0028	0.0424	HMGB3P1	high mobility group box 3 pseudogene 1
216620_s_at	8.65	9.57	-1.9	0.0032	0.0457	ARHGEF10	Rho guanine nucleotide exchange factor 10
216945_x_at	7.37	5.84	2.89	1e-04	0.0026	PASK	PAS domain containing serine/threonine kinase
216952_s_at	10.13	8.62	2.86	5e-04	0.0146	LMNB2	lamin B2
217028_at	8.74	10.72	-3.94	9.9e-06	7e-04	CXCR4	chemokine (C-X-C motif) receptor 4
217100_s_at	7.36	8.36	-1.99	4e-04	0.0061	UBXN7	UBX domain protein 7
217127_at	5.91	7.24	-2.52	6.53e-05	0.002	CTH	cystathionine gamma-lyase
217168_s_at	9.08	12.3	-9.34	1.37e-05	0.003	HERPUD1	homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1
217226_s_at	6.2	7.3	-2.14	0.0017	0.0176	SFXN3	sideroflexin 3
217388_s_at	12.35	10.94	2.65	0.0012	0.0254	KYNU	kynureninase
217427_s_at	8.24	6.97	2.41	6e-04	0.0172	HIRA	histone cell cycle regulator
217547_x_at	5.18	4.41	1.71	0.0018	0.0185	ZNF675	zinc finger protein 675
217551_at	7.43	6.26	2.25	0.0022	0.0362	OR7E14P	olfactory receptor, family 7, subfamily E, member 14 pseudogene
217612_at	7.53	6.79	1.68	0.002	0.0201	TIMM50	translocase of inner mitochondrial membrane 50 homolog (S. cerevisiae)
217647_at	5.42	4.75	1.59	0.0054	0.0412	DHODH	dihydroorotate dehydrogenase (quinone)
217716_s_at	11.8	12.99	-2.29	9e-04	0.0468	SEC61A1	Sec61 translocon alpha 1 subunit
217728_at	8.3	9.72	-2.67	3e-04	0.0335	S100A6	S100 calcium binding protein A6
217738_at	9.39	10.87	-2.8	0.001	0.0228	NAMPT	nicotinamide phosphoribosyltransferase
217749_at	9.46	10.63	-2.25	0.0016	0.0296	COPG1	coatomer protein complex subunit gamma 1
217754_at	9.26	8.32	1.92	0.0015	0.0165	DDX56	DEAD (Asp-Glu-Ala-Asp) box helicase 56
217760_at	9.31	8.08	2.33	0.002	0.0336	TRIM44	tripartite motif containing 44
217764_s_at	11.24	9.95	2.45	0.0013	0.0149	RAB31	RAB31, member RAS oncogene family
217766_s_at	9.65	9.02	1.55	0.0054	0.0415	TMEM50A	transmembrane protein 50A
217771_at	9.05	8.12	1.91	0.0032	0.0455	GOLM1	golgi membrane protein 1
217783_s_at	10.19	11.06	-1.83	0.0011	0.0129	YPEL5	yippee like 5
217790_s_at	7.14	9.27	-4.39	8.48e-06	6e-04	SSR3	signal sequence receptor, gamma (translocon-associated protein gamma)
217792_at	10.62	11.42	-1.74	0.002	0.0201	SNX5	sorting nexin 5
217795_s_at	9.91	10.82	-1.87	6e-04	0.0088	TMEM43	transmembrane protein 43
217796_s_at	10.05	9.24	1.76	0.0012	0.014	NPLOC4	NPL4 homolog, ubiquitin recognition factor
217804_s_at	10.2	9.22	1.98	5e-04	0.0074	ILF3	interleukin enhancer binding factor 3
217814_at	11.16	11.85	-1.61	0.0035	0.0298	CCDC47	coiled-coil domain containing 47
217815_at	11.42	10.75	1.59	0.0038	0.0316	SUPT16H	SPT16 homolog, facilitates chromatin remodeling subunit
217816_s_at	10.73	11.48	-1.67	0.0029	0.0265	PCNP	PEST proteolytic signal containing nuclear protein
217817_at	12.08	11.22	1.81	9e-04	0.0111	ARPC4	actin related protein 2/3 complex subunit 4
217819_at	10.57	11.31	-1.67	0.0022	0.0211	GOLGA7	golgin A7
217824_at	6.17	7.9	-3.33	3.82e-05	0.0014	UBE2J1	ubiquitin-conjugating enzyme E2, J1
217839_at	11.85	12.75	-1.88	8e-04	0.0099	TFG	TRK-fused gene
217840_at	10.62	12.14	-2.87	1.99e-05	0.001	DDX41	DEAD (Asp-Glu-Ala-Asp) box polypeptide 41
217841_s_at	9.6	11.02	-2.68	4e-04	0.0344	PPME1	protein phosphatase methylesterase 1
217850_at	10.23	11.13	-1.87	0.0012	0.0138	GNL3	guanine nucleotide binding protein-like 3 (nucleolar)
217853_at	9.44	8	2.72	8e-04	0.044	TNS3	tensin 3
217854_s_at	10.73	9.49	2.36	0.0011	0.0232	POLR2E	polymerase (RNA) II (DNA directed) polypeptide E, 25kDa
217861_s_at	10.04	11.53	-2.81	3e-04	0.0321	PREB	prolactin regulatory element binding
217870_s_at	10.37	11.05	-1.61	0.0049	0.0386	CMPK1	cytidine monophosphate (UMP-CMP) kinase 1, cytosolic
217872_at	10.5	11.31	-1.76	0.0037	0.0315	PIH1D1	PIH1 domain containing 1
217884_at	10.8	9.75	2.07	0.0018	0.0317	NAT10	N-acetyltransferase 10 (GCN5-related)
217888_s_at	9.89	10.62	-1.66	0.0027	0.0248	ARFGAP1	ADP-ribosylation factor GTPase activating protein 1
217891_at	7.94	9.18	-2.35	0.0016	0.0297	C16orf58	chromosome 16 open reading frame 58
217898_at	10.54	11.22	-1.6	0.0037	0.0314	EMC7	ER membrane protein complex subunit 7
217901_at	10.85	11.64	-1.73	0.0055	0.0417	DSG2	desmoglein 2
217905_at	8.02	6.98	2.06	0.0016	0.0166	MCMBP	minichromosome maintenance complex binding protein
217906_at	10.6	11.84	-2.37	9.65e-05	0.0026	KLHDC2	kelch domain containing 2
217911_s_at	11.34	10.07	2.41	2e-04	0.0043	BAG3	BCL2-associated athanogene 3
217912_at	9.52	8.56	1.96	0.0027	0.0411	DUS1L	dihydrouridine synthase 1-like
217920_at	8.32	9.49	-2.26	3e-04	0.0053	MAN1A2	mannosidase, alpha, class 1A, member 2
217936_at	8.02	9.24	-2.34	2e-04	0.0035	ARHGAP5	Rho GTPase activating protein 5
217949_s_at	10.65	11.65	-2	9e-04	0.011	VKORC1	vitamin K epoxide reductase complex subunit 1
217953_at	3.65	4.32	-1.59	0.0056	0.0421	PHF3	PHD finger protein 3
217961_at	9.7	10.5	-1.74	0.0013	0.015	SLC25A38	solute carrier family 25, member 38
217973_at	10.82	9.73	2.13	0.0021	0.0354	DCXR	dicarbonyl/L-xylulose reductase
217977_at	11.24	10.48	1.69	0.0037	0.0313	MSRB1	methionine sulfoxide reductase B1
217980_s_at	10.25	9.32	1.89	9e-04	0.0113	MRPL16	mitochondrial ribosomal protein L16
217986_s_at	9.91	8.22	3.23	9.89e-05	0.0068	BAZ1A	bromodomain adjacent to zinc finger domain 1A
217987_at	10.69	11.42	-1.66	0.0037	0.0311	ASNSD1	asparagine synthetase domain containing 1
217988_at	10.06	11.16	-2.15	0.0013	0.0265	CCNB1IP1	cyclin B1 interacting protein 1, E3 ubiquitin protein ligase
217991_x_at	6.85	6.23	1.55	0.0057	0.0428	SSBP3	single stranded DNA binding protein 3
217992_s_at	8.78	7.19	3.02	1.47e-05	8e-04	EFHD2	EF-hand domain family member D2
218009_s_at	12.09	10.87	2.33	3e-04	0.0058	PRC1	protein regulator of cytokinesis 1
218012_at	8.91	10.77	-3.62	1e-04	0.0072	TSPYL2	TSPY-like 2
218014_at	10.36	8.52	3.57	5.35e-05	0.0052	NUP85	nucleoporin 85kDa
218020_s_at	8.01	8.71	-1.62	0.0041	0.0338	ZFAND3	zinc finger, AN1-type domain 3
218024_at	8.58	9.34	-1.69	0.0059	0.0441	MPC1	mitochondrial pyruvate carrier 1
218025_s_at	8.89	9.68	-1.73	0.0034	0.0297	ECI2	enoyl-CoA delta isomerase 2
218026_at	10.41	9.19	2.33	1e-04	0.0029	COA3	cytochrome c oxidase assembly factor 3
218027_at	11.07	9.95	2.18	0.0027	0.0415	MRPL15	mitochondrial ribosomal protein L15
218032_at	9.35	7.94	2.66	4.6e-05	0.0016	SNN	stannin
218039_at	10.73	9.36	2.6	5e-04	0.0077	NUSAP1	nucleolar and spindle associated protein 1
218050_at	9.81	11.94	-4.38	5.56e-06	5e-04	UFM1	ubiquitin-fold modifier 1
218055_s_at	9.43	11.06	-3.1	5.48e-05	0.0018	WDR41	WD repeat domain 41
218064_s_at	8.12	8.79	-1.59	0.0038	0.0316	AKAP8L	A kinase (PRKA) anchor protein 8-like
218065_s_at	10.6	9.94	1.57	0.0067	0.0481	TMEM9B	TMEM9 domain family, member B
218069_at	12.65	10.52	4.4	2.66e-05	0.0038	DCTPP1	dCTP pyrophosphatase 1
218070_s_at	8.31	9.83	-2.86	9e-04	0.0207	GMPPA	GDP-mannose pyrophosphorylase A
218079_s_at	9.57	10.26	-1.61	0.0035	0.0298	GGNBP2	gametogenetin binding protein 2
218081_at	8.98	7.79	2.27	0.0016	0.0301	C20orf27	chromosome 20 open reading frame 27
218082_s_at	10.42	9.29	2.18	0.0035	0.0484	UBP1	upstream binding protein 1 (LBP-1a)
218085_at	10.6	11.43	-1.78	0.0024	0.0228	CHMP5	charged multivesicular body protein 5
218090_s_at	8.07	8.82	-1.69	0.0034	0.0297	WDR11	WD repeat domain 11
218099_at	10.14	9.08	2.08	0.0022	0.0363	TEX2	testis expressed 2
218103_at	11.78	10.98	1.74	0.0014	0.0152	FTSJ3	FtsJ homolog 3 (E. coli)
218105_s_at	9.33	8.39	1.92	5e-04	0.0077	MRPL4	mitochondrial ribosomal protein L4
218106_s_at	9.92	11.07	-2.21	2e-04	0.0038	MRPS10	mitochondrial ribosomal protein S10
218108_at	10.84	9.21	3.1	1.27e-05	8e-04	UBR7	ubiquitin protein ligase E3 component n-recognin 7 (putative)
218112_at	9.75	8.74	2.01	0.002	0.0336	MRPS34	mitochondrial ribosomal protein S34
218115_at	9.48	7.31	4.49	1e-04	0.0081	ASF1B	anti-silencing function 1B histone chaperone
218124_at	8.02	9.44	-2.68	4e-04	0.0144	RETSAT	retinol saturase (all-trans-retinol 13,14-reductase)
218137_s_at	10.44	12.09	-3.14	1.15e-05	7e-04	SMAP1	small ArfGAP 1
218145_at	9.6	10.78	-2.26	4e-04	0.0059	TRIB3	tribbles pseudokinase 3
218146_at	10.12	11.05	-1.9	6e-04	0.008	GLT8D1	glycosyltransferase 8 domain containing 1
218149_s_at	9.07	10.5	-2.71	0.0015	0.0289	ZNF395	zinc finger protein 395
218151_x_at	10.69	10	1.62	0.003	0.0266	SLC52A2	solute carrier family 52 (riboflavin transporter), member 2
218152_at	8.79	9.5	-1.64	0.0035	0.0297	HMG20A	high mobility group 20A
218161_s_at	8.42	7.27	2.22	0.0016	0.0298	CLN6	ceroid-lipofuscinosis, neuronal 6, late infantile, variant
218162_at	7	5.29	3.27	7.87e-05	0.0022	OLFML3	olfactomedin like 3
218170_at	11.63	10.58	2.07	5e-04	0.0076	ISOC1	isochorismatase domain containing 1
218181_s_at	6.91	7.58	-1.59	0.005	0.039	MAP4K4	mitogen-activated protein kinase kinase kinase kinase 4
218189_s_at	11.5	12.46	-1.95	5e-04	0.0076	NANS	N-acetylneuraminic acid synthase
218191_s_at	9.51	10.61	-2.15	6e-04	0.0081	LMBRD1	LMBR1 domain containing 1
218192_at	8.73	9.4	-1.59	0.0052	0.0399	IP6K2	inositol hexakisphosphate kinase 2
218194_at	10.1	11.29	-2.28	3e-04	0.0053	REXO2	RNA exonuclease 2
218195_at	12.35	11.66	1.62	0.0054	0.0412	ARMT1	acidic residue methyltransferase 1
218203_at	11.16	12.35	-2.28	2e-04	0.004	ALG5	ALG5, dolichyl-phosphate beta-glucosyltransferase
218205_s_at	10.44	11.73	-2.44	6e-04	0.0403	MKNK2	MAP kinase interacting serine/threonine kinase 2
218210_at	10.1	8.76	2.54	4.54e-05	0.0016	FN3KRP	fructosamine 3 kinase related protein
218214_at	10.69	11.59	-1.86	8e-04	0.0101	ATG101	autophagy related 101
218218_at	7.35	8.08	-1.66	0.0027	0.0246	APPL2	adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing 2
218228_s_at	9.68	10.53	-1.8	9e-04	0.0115	TNKS2	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase 2
218230_at	10.41	11.1	-1.61	0.0053	0.0405	ARFIP1	ADP-ribosylation factor interacting protein 1
218233_s_at	12.8	12.05	1.68	0.0025	0.0238	PRICKLE4; TOMM6	prickle homolog 4; translocase of outer mitochondrial membrane 6 homolog (yeast)
218236_s_at	7.57	6.6	1.96	4e-04	0.0065	PRKD3	protein kinase D3
218241_at	10.42	12.15	-3.31	2e-04	0.0105	GOLGA5	golgin A5
218247_s_at	9.13	10.11	-1.98	4e-04	0.0062	MEX3C	mex-3 RNA binding family member C
218248_at	10.24	8.35	3.7	4.95e-06	5e-04	FAM111A	family with sequence similarity 111, member A
218269_at	10.83	9.43	2.64	0.0024	0.0386	DROSHA	drosha, ribonuclease type III
218270_at	10.92	10.31	1.53	0.0062	0.0455	MRPL24	mitochondrial ribosomal protein L24
218274_s_at	7.85	9.34	-2.81	2e-04	0.0103	ANKZF1	ankyrin repeat and zinc finger domain containing 1
218275_at	9.1	7.72	2.59	8e-04	0.0202	SLC25A10	solute carrier family 25 (mitochondrial carrier; dicarboxylate transporter), member 10
218276_s_at	7.47	9.39	-3.77	4.71e-06	5e-04	SAV1	salvador family WW domain containing protein 1
218282_at	7.13	9.01	-3.68	1e-04	0.0076	EDEM2	ER degradation enhancer, mannosidase alpha-like 2
218305_at	10.46	9.37	2.13	0.0016	0.0297	IPO4	importin 4
218308_at	9.56	8	2.95	3e-04	0.0327	TACC3	transforming, acidic coiled-coil containing protein 3
218309_at	9.34	8.27	2.1	0.0019	0.0329	CAMK2N1	calcium/calmodulin-dependent protein kinase II inhibitor 1
218310_at	9.59	10.54	-1.93	6e-04	0.0081	RABGEF1	RAB guanine nucleotide exchange factor (GEF) 1
218316_at	10.03	10.73	-1.63	0.0029	0.0262	TIMM9	translocase of inner mitochondrial membrane 9 homolog (yeast)
218319_at	5.99	6.79	-1.75	0.0021	0.0203	PELI1	pellino E3 ubiquitin protein ligase 1
218323_at	9.13	10.37	-2.36	9.44e-05	0.0025	RHOT1	ras homolog family member T1
218336_at	10.91	12.13	-2.33	9.24e-05	0.0025	PFDN2	prefoldin subunit 2
218346_s_at	8.48	9.78	-2.45	0.0023	0.0373	SESN1	sestrin 1
218348_s_at	9.52	10.54	-2.03	5e-04	0.0072	ZC3H7A	zinc finger CCCH-type containing 7A
218350_s_at	11.38	9.17	4.6	1e-04	0.0072	GMNN	geminin, DNA replication inhibitor
218355_at	9.85	7.67	4.52	2e-04	0.01	KIF4A	kinesin family member 4A
218357_s_at	11.33	9.9	2.71	0.001	0.0226	TIMM8B	translocase of inner mitochondrial membrane 8 homolog B (yeast)
218358_at	10.92	13.33	-5.32	1.22e-06	3e-04	CRELD2	cysteine rich with EGF-like domains 2
218361_at	9.66	12.37	-6.55	1.53e-05	0.0031	GOLPH3L	golgi phosphoprotein 3-like
218365_s_at	8.67	7.72	1.92	0.0039	0.0323	DARS2	aspartyl-tRNA synthetase 2, mitochondrial
218395_at	9.39	10.04	-1.56	0.0047	0.0372	ACTR6	ARP6 actin-related protein 6 homolog (yeast)
218396_at	7.14	7.82	-1.6	0.004	0.033	VPS13C	vacuolar protein sorting 13 homolog C (S. cerevisiae)
218397_at	9.53	8.79	1.67	0.0051	0.0395	FANCL	Fanconi anemia complementation group L
218399_s_at	10.61	9	3.04	8e-04	0.044	CDCA4	cell division cycle associated 4
218403_at	11.81	12.49	-1.6	0.0069	0.0493	TRIAP1	TP53 regulated inhibitor of apoptosis 1
218411_s_at	7.46	8.18	-1.65	0.0059	0.044	MBIP	MAP3K12 binding inhibitory protein 1
218418_s_at	10.75	8.67	4.23	5e-04	0.0379	KANK2	KN motif and ankyrin repeat domains 2
218431_at	9.5	10.43	-1.9	5e-04	0.0078	VIPAS39	VPS33B interacting protein, apical-basolateral polarity regulator, spe-39 homolog
218436_at	8.63	9.83	-2.29	7e-04	0.0191	SIL1	SIL1 nucleotide exchange factor
218449_at	8.63	10.17	-2.9	2e-04	0.0095	UFSP2	UFM1-specific peptidase 2
218454_at	8.45	7.57	1.84	9e-04	0.0113	PLBD1	phospholipase B domain containing 1
218455_at	8.51	7.4	2.15	0.0015	0.029	NFS1	NFS1 cysteine desulfurase
218459_at	9.7	8.02	3.22	9.77e-06	7e-04	TOR3A	torsin family 3, member A
218460_at	10.86	9.81	2.08	6e-04	0.0089	DNAAF5	dynein, axonemal, assembly factor 5
218472_s_at	8.7	9.82	-2.18	0.0011	0.0239	PELO	pelota homolog (Drosophila)
218473_s_at	8.87	8.11	1.69	0.002	0.0201	COLGALT1	collagen beta(1-O)galactosyltransferase 1
218477_at	11.57	10.47	2.13	4e-04	0.0063	TMEM14A	transmembrane protein 14A
218478_s_at	9.53	10.23	-1.63	0.0058	0.0436	ZCCHC8	zinc finger, CCHC domain containing 8
218487_at	7.52	6.74	1.72	0.0016	0.0169	ALAD	aminolevulinate dehydratase
218492_s_at	8.52	7.8	1.64	0.0025	0.0237	THAP7	THAP domain containing 7
218493_at	12	10.62	2.6	2e-04	0.0043	SNRNP25	small nuclear ribonucleoprotein, U11/U12 25kDa subunit
218500_at	8.36	7.21	2.23	9e-04	0.0212	THEM6	thioesterase superfamily member 6
218502_s_at	10.78	9.84	1.92	8e-04	0.0105	TRPS1	trichorhinophalangeal syndrome I
218507_at	10.93	13.61	-6.43	2.64e-05	0.0038	HILPDA	hypoxia inducible lipid droplet-associated
218530_at	7.6	6.89	1.64	0.0027	0.0249	FHOD1	formin homology 2 domain containing 1
218531_at	8.52	9.17	-1.57	0.0044	0.0353	TMEM134	transmembrane protein 134
218539_at	10.77	11.71	-1.92	6e-04	0.0084	FBXO34	F-box protein 34
218543_s_at	7.95	6.47	2.8	7.56e-05	0.0022	PARP12	poly(ADP-ribose) polymerase family member 12
218544_s_at	8.96	8.05	1.88	0.0035	0.049	RCL1	RNA terminal phosphate cyclase-like 1
218545_at	8.03	9.32	-2.43	9.65e-05	0.0026	CCDC91	coiled-coil domain containing 91
218559_s_at	7.78	6.46	2.5	5.24e-05	0.0017	MAFB	v-maf avian musculoaponeurotic fibrosarcoma oncogene homolog B
218564_at	9.8	7.55	4.76	2e-04	0.0044	RFWD3	ring finger and WD repeat domain 3
218573_at	9.43	10.74	-2.49	5e-04	0.0155	MAGEH1	MAGE family member H1
218581_at	8.67	9.67	-2.01	0.002	0.034	ABHD4	abhydrolase domain containing 4
218585_s_at	9.62	7.66	3.89	3.38e-06	4e-04	DTL	denticleless E3 ubiquitin protein ligase homolog (Drosophila)
218588_s_at	6.64	7.64	-1.99	0.0014	0.0157	FAM114A2	family with sequence similarity 114, member A2
218589_at	5.34	4.24	2.16	0.0013	0.0257	LPAR6	lysophosphatidic acid receptor 6
218598_at	9.63	10.82	-2.28	2e-04	0.0043	RINT1	RAD50 interactor 1
218603_at	8.25	9.24	-1.98	4e-04	0.0063	HECA	hdc homolog, cell cycle regulator
218611_at	10.52	11.51	-1.99	0.0022	0.0362	IER5	immediate early response 5
218616_at	9.06	9.67	-1.53	0.0068	0.0486	INTS12	integrator complex subunit 12
218617_at	8.06	9.09	-2.05	0.0027	0.025	TRIT1	tRNA isopentenyltransferase 1
218619_s_at	9.14	8.11	2.04	0.0018	0.0319	SUV39H1	suppressor of variegation 3-9 homolog 1 (Drosophila)
218622_at	10.53	11.21	-1.6	0.0036	0.0308	NUP37	nucleoporin 37kDa
218627_at	8.12	8.89	-1.71	0.002	0.0197	DRAM1	DNA-damage regulated autophagy modulator 1
218631_at	9.14	10.21	-2.1	0.002	0.034	AVPI1	arginine vasopressin-induced 1
218633_x_at	9.49	10.32	-1.78	0.0069	0.0491	ABHD10	abhydrolase domain containing 10
218641_at	8.4	6.72	3.22	2e-04	0.0082	C11orf95	chromosome 11 open reading frame 95
